seed,range_idx,fdr,tpr,fpr,shd,nnz
0,1,0.21052631578947367,0.75,0.023529411764705882,9,19
1,1,0.41379310344827586,0.85,0.07058823529411765,13,29
2,1,0.43333333333333335,0.85,0.07647058823529412,14,30
3,1,0.20833333333333334,0.95,0.029411764705882353,5,24
4,1,0.4482758620689655,0.8,0.07647058823529412,14,29
5,1,0.36666666666666664,0.95,0.06470588235294118,12,30
6,1,0.37037037037037035,0.85,0.058823529411764705,10,27
7,1,0.40625,0.95,0.07647058823529412,14,32
8,1,0.21739130434782608,0.9,0.029411764705882353,5,23
9,1,0.34615384615384615,0.85,0.052941176470588235,10,26
