seed,range_idx,n_bootstrap_samples,fdr,tpr,fpr,shd,nnz
0,2,20,0.05263157894736842,0.9,0.0058823529411764705,3,19
1,2,20,0.32142857142857145,0.95,0.052941176470588235,10,28
2,2,20,0.25925925925925924,1.0,0.041176470588235294,7,27
3,2,20,0.09523809523809523,0.95,0.011764705882352941,3,21
4,2,20,0.2692307692307692,0.95,0.041176470588235294,8,26
5,2,20,0.047619047619047616,1.0,0.0058823529411764705,1,21
6,2,20,0.2,1.0,0.029411764705882353,4,25
7,2,20,0.2962962962962963,0.95,0.047058823529411764,9,27
8,2,20,0.09090909090909091,1.0,0.011764705882352941,2,22
9,2,20,0.17391304347826086,0.95,0.023529411764705882,4,23
