seed,range_idx,fdr,tpr,fpr,shd,nnz
0,0,0.25,0.75,0.029411764705882353,10,20
1,0,0.4827586206896552,0.75,0.08235294117647059,17,29
2,0,0.38461538461538464,0.8,0.058823529411764705,13,26
3,0,0.3888888888888889,0.55,0.041176470588235294,15,18
4,0,0.5,0.7,0.08235294117647059,17,28
5,0,0.39285714285714285,0.85,0.06470588235294118,14,28
6,0,0.375,0.75,0.052941176470588235,13,24
7,0,0.41935483870967744,0.9,0.07647058823529412,15,31
8,0,0.2608695652173913,0.85,0.03529411764705882,6,23
9,0,0.36363636363636365,0.7,0.047058823529411764,12,22
