seed,range_idx,n_bootstrap_samples,fdr,tpr,fpr,shd,nnz
0,0,20,0.16666666666666666,0.75,0.01764705882352941,8,18
1,0,20,0.4074074074074074,0.8,0.06470588235294118,13,27
2,0,20,0.3,0.7,0.03529411764705882,12,20
3,0,20,0.15384615384615385,0.55,0.011764705882352941,11,13
4,0,20,0.4,0.75,0.058823529411764705,12,25
5,0,20,0.1111111111111111,0.8,0.011764705882352941,6,18
6,0,20,0.2777777777777778,0.65,0.029411764705882353,12,18
7,0,20,0.38461538461538464,0.8,0.058823529411764705,14,26
8,0,20,0.09523809523809523,0.95,0.011764705882352941,2,21
9,0,20,0.2631578947368421,0.7,0.029411764705882353,10,19
