fdr,tpr,fpr,shd,nnz,range_idx,w_range_1_low,w_range_1_high,w_range_2_low,w_range_2_high,bootstrap
0.38179808046145036,0.76,0.05705882352941176,13.2,24.9,0,-0.1,-1.0,0.1,1.0,False
0.34210941355120916,0.8699999999999999,0.05588235294117647,10.6,26.9,1,-0.2,-1.1,0.2,1.1,False
0.3011839160742532,0.9399999999999998,0.049999999999999996,8.8,27.3,2,-0.30000000000000004,-1.2,0.30000000000000004,1.2,False
0.28396965112875905,0.9549999999999998,0.04647058823529412,8.2,27.0,3,-0.4,-1.3,0.4,1.3,False
0.2470322998799083,0.9700000000000001,0.04,7.1,26.2,4,-0.5,-1.4,0.5,1.4,False
0.2299265939915937,0.985,0.036470588235294116,6.3,25.9,5,-0.6,-1.5,0.6,1.5,False
0.22366254116254117,0.99,0.03529411764705882,6.1,25.8,6,-0.7000000000000001,-1.6,0.7000000000000001,1.6,False
0.2205856180856181,0.99,0.03470588235294118,6.0,25.7,7,-0.8,-1.7000000000000002,0.8,1.7000000000000002,False
0.21424430641821948,0.9949999999999999,0.03352941176470588,5.7,25.6,8,-0.9,-1.8,0.9,1.8,False
0.2069215969215969,1.0,0.032352941176470584,5.5,25.5,9,-1.0,-1.9,1.0,1.9,False
