fdr,tpr,fpr,shd,nnz,range_idx,w_range_1_low,w_range_1_high,w_range_2_low,w_range_2_high,bootstrap
0.625,0.6,0.11764705882352941,26.0,32.0,0,-0.1,-1.0,0.1,1.0,True
0.53125,0.75,0.1,22.0,32.0,1,-0.2,-1.1,0.2,1.1,True
0.48484848484848486,0.85,0.09411764705882353,19.0,33.0,2,-0.30000000000000004,-1.2,0.30000000000000004,1.2,True
0.4864864864864865,0.95,0.10588235294117647,19.0,37.0,3,-0.4,-1.3,0.4,1.3,True
0.4722222222222222,0.95,0.1,18.0,36.0,4,-0.5,-1.4,0.5,1.4,True
0.5,0.95,0.11176470588235295,20.0,38.0,5,-0.6,-1.5,0.6,1.5,True
0.5,0.95,0.11176470588235295,20.0,38.0,6,-0.7000000000000001,-1.6,0.7000000000000001,1.6,True
0.45714285714285713,0.95,0.09411764705882353,17.0,35.0,7,-0.8,-1.7000000000000002,0.8,1.7000000000000002,True
0.4411764705882353,0.95,0.08823529411764706,16.0,34.0,8,-0.9,-1.8,0.9,1.8,True
0.40625,0.95,0.07647058823529412,14.0,32.0,9,-1.0,-1.9,1.0,1.9,True
